"","Uniprot_InteractorA","Uniprot_InteractorB","Confidence.value.s.","InteractorA","InteractorB"
"1","uniprotkb:P11433","uniprotkb:P18852","intact-miscore:0.37","YAL041W","YJR086W"
"2","uniprotkb:P21268","uniprotkb:P18851","intact-miscore:0.53","YJL157C","YOR212W"
"3","uniprotkb:P39010","uniprotkb:P18852","intact-miscore:0.37","YDR264C","YJR086W"
"4","uniprotkb:P33204","uniprotkb:P36006","intact-miscore:0.37","YKL013C","YKL129C"
"5","uniprotkb:P38328","uniprotkb:P36006","intact-miscore:0.51","YBR234C","YKL129C"
"6","uniprotkb:P38634","uniprotkb:P17157","intact-miscore:0.44","YLR079W","YPL031C"
"7","uniprotkb:P38682","uniprotkb:P41811","intact-miscore:0.55","YER122C","YGL137W"
"8","uniprotkb:P32074","uniprotkb:P38682","intact-miscore:0.55","YNL287W","YER122C"
"9","uniprotkb:P32383","uniprotkb:P40969","intact-miscore:0.37","YPL268W","YMR168C"
"10","uniprotkb:P32504","uniprotkb:P32383","intact-miscore:0.53","YGR140W","YPL268W"
"11","uniprotkb:P17106","uniprotkb:P35201","intact-miscore:0.44","YJR060W","YKL089W"
"12","uniprotkb:P40969","uniprotkb:P17106","intact-miscore:0.44","YMR168C","YJR060W"
"13","uniprotkb:P17106","uniprotkb:P32504","intact-miscore:0.44","YJR060W","YGR140W"
"14","uniprotkb:P35203","uniprotkb:P17106","intact-miscore:0.44","YMR094W","YJR060W"
"15","uniprotkb:P04147","uniprotkb:P53297","intact-miscore:0.37","YER165W","YGR178C"
"16","uniprotkb:P24583","uniprotkb:P04147","intact-miscore:0.37","YBL105C","YER165W"
"17","uniprotkb:P04147","uniprotkb:P38151","intact-miscore:0.55","YER165W","YBR233W"
"18","uniprotkb:P32486","uniprotkb:P04147","intact-miscore:0.37","YPR159W","YER165W"
"19","uniprotkb:P04147","uniprotkb:P07260","intact-miscore:0.56","YER165W","YOL139C"
"20","uniprotkb:P32911","uniprotkb:P38764","intact-miscore:0.37","YNL244C","YHR027C"
"21","uniprotkb:P38764","uniprotkb:P25390","intact-miscore:0.37","YHR027C","YCR073C"
"22","uniprotkb:Q03656","uniprotkb:P33298","intact-miscore:0.37","YMR216C","YDR394W"
"23","uniprotkb:Q01939","uniprotkb:P32911","intact-miscore:0.37","YGL048C","YNL244C"
"24","uniprotkb:Q12250","uniprotkb:P38956","intact-miscore:0.37","YDL147W","YDR073W"
"25","uniprotkb:P32911","uniprotkb:Q04062","intact-miscore:0.37","YNL244C","YDR427W"
"26","uniprotkb:Q07478","uniprotkb:P40302","intact-miscore:0.37","YDL084W","YMR314W"
"27","uniprotkb:P38293","uniprotkb:P30656","intact-miscore:0.37","YBR173C","YPR103W"
"28","uniprotkb:Q06624","uniprotkb:P38624","intact-miscore:0.37","YPR180W","YJL001W"
"29","uniprotkb:P30657","uniprotkb:P40013","intact-miscore:0.37","YFR050C","YER016W"
"30","uniprotkb:P30657","uniprotkb:P40064","intact-miscore:0.37","YFR050C","YER105C"
"31","uniprotkb:P40302","uniprotkb:P52917","intact-miscore:0.37","YMR314W","YPR173C"
"32","uniprotkb:P36003","uniprotkb:P38764","intact-miscore:0.37","YKL171W","YHR027C"
"33","uniprotkb:Q02199","uniprotkb:P23639","intact-miscore:0.37","YGL172W","YML092C"
"34","uniprotkb:P32911","uniprotkb:P23638","intact-miscore:0.37","YNL244C","YGR135W"
"35","uniprotkb:P21242","uniprotkb:Q03792","intact-miscore:0.37","YOR362C","YMR154C"
"36","uniprotkb:P32911","uniprotkb:P21242","intact-miscore:0.37","YNL244C","YOR362C"
"37","uniprotkb:Q08018","uniprotkb:P21242","intact-miscore:0.37","YLR076C","YOR362C"
"38","uniprotkb:Q04062","uniprotkb:Q08018","intact-miscore:0.37","YDR427W","YLR076C"
"39","uniprotkb:Q04062","uniprotkb:Q06708","intact-miscore:0.37","YDR427W","YLR386W"
"40","uniprotkb:P47050","uniprotkb:P30657","intact-miscore:0.37","YJL047C","YFR050C"
"41","uniprotkb:P40064","uniprotkb:P23724","intact-miscore:0.37","YER105C","YBL041W"
"42","uniprotkb:Q03465","uniprotkb:P23724","intact-miscore:0.37","YDL020C","YBL041W"
"43","uniprotkb:P25390","uniprotkb:P23724","intact-miscore:0.37","YCR073C","YBL041W"
"44","uniprotkb:P23724","uniprotkb:P40555","intact-miscore:0.37","YBL041W","YIL007C"
"45","uniprotkb:P30657","uniprotkb:P38346","intact-miscore:0.37","YFR050C","YBR270C"
"46","uniprotkb:P53243","uniprotkb:P30657","intact-miscore:0.37","YGR067C","YFR050C"
"47","uniprotkb:P30657","uniprotkb:P53851","intact-miscore:0.37","YFR050C","YNL253W"
"48","uniprotkb:P22216","uniprotkb:P32325","intact-miscore:0.37","YPL153C","YDR052C"
"49","uniprotkb:P14680","uniprotkb:P29311","intact-miscore:0.32","YJL141C","YER177W"
"50","uniprotkb:P34730","uniprotkb:P14680","intact-miscore:0.32","YDR099W","YJL141C"
"51","uniprotkb:Q08963","uniprotkb:Q04693","intact-miscore:0.53","YPL213W","YML049C"
"52","uniprotkb:P40546","uniprotkb:Q08963","intact-miscore:0.32","YIL019W","YPL213W"
"53","uniprotkb:P25693","uniprotkb:P39743","intact-miscore:0.37","YDL127W","YDR388W"
"54","uniprotkb:P08539","uniprotkb:P16892","intact-miscore:0.54","YHR005C","YBL016W"
"55","uniprotkb:P40468","uniprotkb:P32797","intact-miscore:0.37","YIL129C","YDL220C"
"56","uniprotkb:P32797","uniprotkb:P39730","intact-miscore:0.37","YDL220C","YAL035W"
"57","uniprotkb:P32797","uniprotkb:P13382","intact-miscore:0.51","YDL220C","YNL102W"
"58","uniprotkb:P13711","uniprotkb:P35056","intact-miscore:0.51","YGL205W","YDR244W"
"59","uniprotkb:P13574","uniprotkb:P39073","intact-miscore:0.31","YHR084W","YPL042C"
"60","uniprotkb:P48412","uniprotkb:P30771","intact-miscore:0.37","YGR072W","YMR080C"
"61","uniprotkb:P30771","uniprotkb:P38798","intact-miscore:0.37","YMR080C","YHR077C"
"62","uniprotkb:P15646","uniprotkb:Q02555","intact-miscore:0.56","YDL014W","YMR239C"
"63","uniprotkb:P80667","uniprotkb:P28795","intact-miscore:0.37","YLR191W","YDR329C"
"64","uniprotkb:P35056","uniprotkb:P40155","intact-miscore:0.37","YDR244W","YNL214W"
"65","uniprotkb:Q05568","uniprotkb:P29340","intact-miscore:0.37","YDR265W","YGR133W"
"66","uniprotkb:P40155","uniprotkb:P80667","intact-miscore:0.37","YNL214W","YLR191W"
"67","uniprotkb:Q05568","uniprotkb:P39718","intact-miscore:0.37","YDR265W","YAL055W"
"68","uniprotkb:P23255","uniprotkb:P50105","intact-miscore:0.37","YCR042C","YMR005W"
"69","uniprotkb:Q03750","uniprotkb:P50105","intact-miscore:0.37","YML114C","YMR005W"
"70","uniprotkb:P38811","uniprotkb:P35177","intact-miscore:0.77","YHR099W","YBR081C"
"71","uniprotkb:P32494","uniprotkb:P38811","intact-miscore:0.64","YDR176W","YHR099W"
"72","uniprotkb:Q03898","uniprotkb:P29311","intact-miscore:0.61","YDR130C","YER177W"
"73","uniprotkb:P34730","uniprotkb:Q03898","intact-miscore:0.66","YDR099W","YDR130C"
"74","uniprotkb:P38129","uniprotkb:P38129","intact-miscore:0.56","YBR198C","YBR198C"
"75","uniprotkb:Q03761","uniprotkb:Q03761","intact-miscore:0.56","YDR145W","YDR145W"
"76","uniprotkb:P53040","uniprotkb:P53040","intact-miscore:0.56","YGL112C","YGL112C"
"77","uniprotkb:P50105","uniprotkb:P50105","intact-miscore:0.40","YMR005W","YMR005W"
"78","uniprotkb:P35189","uniprotkb:P35189","intact-miscore:0.40","YPL129W","YPL129W"
"79","uniprotkb:Q12030","uniprotkb:Q12030","intact-miscore:0.57","YDR167W","YDR167W"
"80","uniprotkb:Q05027","uniprotkb:Q05027","intact-miscore:0.56","YMR236W","YMR236W"
"81","uniprotkb:Q12030","uniprotkb:P35189","intact-miscore:0.66","YDR167W","YPL129W"
"82","uniprotkb:Q12030","uniprotkb:P23255","intact-miscore:0.66","YDR167W","YCR042C"
"83","uniprotkb:Q12030","uniprotkb:Q05027","intact-miscore:0.79","YDR167W","YMR236W"
"84","uniprotkb:Q12030","uniprotkb:P13393","intact-miscore:0.69","YDR167W","YER148W"
"85","uniprotkb:P34730","uniprotkb:Q00816","intact-miscore:0.53","YDR099W","YDR028C"
"86","uniprotkb:P23255","uniprotkb:P13393","intact-miscore:0.40","YCR042C","YER148W"
"87","uniprotkb:P23255","uniprotkb:P38129","intact-miscore:0.67","YCR042C","YBR198C"
"88","uniprotkb:P11632","uniprotkb:P32597","intact-miscore:0.62","YPR052C","YIL126W"
"89","uniprotkb:Q06639","uniprotkb:P38781","intact-miscore:0.66","YDR303C","YHR056C"
"90","uniprotkb:P53236","uniprotkb:Q06488","intact-miscore:0.40","YGR056W","YLR357W"
"91","uniprotkb:P18888","uniprotkb:P18480","intact-miscore:0.56","YHL025W","YBR289W"
"92","uniprotkb:P18888","uniprotkb:P35189","intact-miscore:0.72","YHL025W","YPL129W"
"93","uniprotkb:P22082","uniprotkb:P38956","intact-miscore:0.63","YOR290C","YDR073W"
"94","uniprotkb:P38956","uniprotkb:P32591","intact-miscore:0.56","YDR073W","YJL176C"
"95","uniprotkb:P38956","uniprotkb:P53628","intact-miscore:0.40","YDR073W","YNR023W"
"96","uniprotkb:P38956","uniprotkb:P18480","intact-miscore:0.56","YDR073W","YBR289W"
"97","uniprotkb:P38956","uniprotkb:P18888","intact-miscore:0.73","YDR073W","YHL025W"
"98","uniprotkb:P38811","uniprotkb:Q08649","intact-miscore:0.88","YHR099W","YOR244W"
"99","uniprotkb:Q12432","uniprotkb:P38811","intact-miscore:0.74","YPR023C","YHR099W"
"100","uniprotkb:Q03048","uniprotkb:P46680","intact-miscore:0.55","YLL050C","YMR092C"
"101","uniprotkb:P32578","uniprotkb:P47017","intact-miscore:0.37","YDR422C","YJL124C"
"102","uniprotkb:P38314","uniprotkb:P47017","intact-miscore:0.37","YBR214W","YJL124C"
"103","uniprotkb:P32558","uniprotkb:P47017","intact-miscore:0.37","YGL207W","YJL124C"
"104","uniprotkb:P34228","uniprotkb:P38203","intact-miscore:0.37","YBL066C","YBL026W"
"105","uniprotkb:P47017","uniprotkb:P38147","intact-miscore:0.37","YJL124C","YBR274W"
"106","uniprotkb:P47017","uniprotkb:P25345","intact-miscore:0.37","YJL124C","YCR024C"
"107","uniprotkb:P47017","uniprotkb:Q04511","intact-miscore:0.37","YJL124C","YML088W"
"108","uniprotkb:P39998","uniprotkb:P38203","intact-miscore:0.37","YEL015W","YBL026W"
"109","uniprotkb:P47017","uniprotkb:P48240","intact-miscore:0.37","YJL124C","YGR158C"
"110","uniprotkb:P31380","uniprotkb:P47017","intact-miscore:0.37","YAL019W","YJL124C"
"111","uniprotkb:P04710","uniprotkb:P47017","intact-miscore:0.37","YMR056C","YJL124C"
"112","uniprotkb:P09547","uniprotkb:P47017","intact-miscore:0.37","YPL016W","YJL124C"
"113","uniprotkb:P38203","uniprotkb:P53248","intact-miscore:0.37","YBL026W","YGR077C"
"114","uniprotkb:P47017","uniprotkb:P46971","intact-miscore:0.37","YJL124C","YJR143C"
"115","uniprotkb:P09232","uniprotkb:P47017","intact-miscore:0.37","YEL060C","YJL124C"
"116","uniprotkb:P47017","uniprotkb:P40527","intact-miscore:0.37","YJL124C","YIL048W"
"117","uniprotkb:P38203","uniprotkb:P40527","intact-miscore:0.37","YBL026W","YIL048W"
"118","uniprotkb:P32828","uniprotkb:P47017","intact-miscore:0.37","YDL013W","YJL124C"
"119","uniprotkb:Q04089","uniprotkb:P38203","intact-miscore:0.37","YDR440W","YBL026W"
"120","uniprotkb:P38203","uniprotkb:P53100","intact-miscore:0.37","YBL026W","YGL185C"
"121","uniprotkb:P47017","uniprotkb:P48582","intact-miscore:0.37","YJL124C","YPL084W"
"122","uniprotkb:P23059","uniprotkb:P38203","intact-miscore:0.37","YCR020C-A","YBL026W"
"123","uniprotkb:P39706","uniprotkb:P38203","intact-miscore:0.37","YAR003W","YBL026W"
"124","uniprotkb:P47017","uniprotkb:P39943","intact-miscore:0.37","YJL124C","YER028C"
"125","uniprotkb:P14741","uniprotkb:P47017","intact-miscore:0.37","YKR026C","YJL124C"
"126","uniprotkb:P53893","uniprotkb:P47017","intact-miscore:0.37","YNL163C","YJL124C"
"127","uniprotkb:P47017","uniprotkb:P41920","intact-miscore:0.37","YJL124C","YDR002W"
"128","uniprotkb:P38203","uniprotkb:P40395","intact-miscore:0.37","YBL026W","YLR039C"
"129","uniprotkb:P38203","uniprotkb:P21672","intact-miscore:0.37","YBL026W","YIL066C"
"130","uniprotkb:P36048","uniprotkb:P47017","intact-miscore:0.37","YKL173W","YJL124C"
"131","uniprotkb:P10862","uniprotkb:P38203","intact-miscore:0.37","YCR066W","YBL026W"
"132","uniprotkb:P23561","uniprotkb:P47017","intact-miscore:0.37","YLR362W","YJL124C"
"133","uniprotkb:P38203","uniprotkb:P40465","intact-miscore:0.37","YBL026W","YIL132C"
"134","uniprotkb:P47017","uniprotkb:P53965","intact-miscore:0.37","YJL124C","YNL032W"
"135","uniprotkb:P47017","uniprotkb:P53837","intact-miscore:0.37","YJL124C","YNL276C"
"136","uniprotkb:P40530","uniprotkb:P47017","intact-miscore:0.37","YIL042C","YJL124C"
"137","uniprotkb:P38203","uniprotkb:P32481","intact-miscore:0.37","YBL026W","YER025W"
"138","uniprotkb:P47017","uniprotkb:Q04792","intact-miscore:0.37","YJL124C","YMR250W"
"139","uniprotkb:P38203","uniprotkb:P21268","intact-miscore:0.37","YBL026W","YJL157C"
"140","uniprotkb:P32522","uniprotkb:P57743","intact-miscore:0.37","YLR067C","YLR438C-A"
"141","uniprotkb:P40070","uniprotkb:Q04149","intact-miscore:0.37","YER112W","YDR386W"
"142","uniprotkb:P40070","uniprotkb:Q05543","intact-miscore:0.37","YER112W","YDR289C"
"143","uniprotkb:P40070","uniprotkb:P40538","intact-miscore:0.37","YER112W","YIL029C"
"144","uniprotkb:P40070","uniprotkb:P40077","intact-miscore:0.37","YER112W","YER124C"
"145","uniprotkb:P57743","uniprotkb:P48582","intact-miscore:0.37","YLR438C-A","YPL084W"
"146","uniprotkb:P57743","uniprotkb:P40212","intact-miscore:0.37","YLR438C-A","YMR142C"
"147","uniprotkb:P38960","uniprotkb:P40070","intact-miscore:0.37","YDR082W","YER112W"
"148","uniprotkb:P22035","uniprotkb:P57743","intact-miscore:0.37","YKR099W","YLR438C-A"
"149","uniprotkb:P89102","uniprotkb:P38203","intact-miscore:0.37","YDR166C","YBL026W"
"150","uniprotkb:P32828","uniprotkb:P57743","intact-miscore:0.37","YDL013W","YLR438C-A"
"151","uniprotkb:P42944","uniprotkb:P40070","intact-miscore:0.37","YJL110C","YER112W"
"152","uniprotkb:P26786","uniprotkb:P57743","intact-miscore:0.37","YOR096W","YLR438C-A"
"153","uniprotkb:P35688","uniprotkb:P57743","intact-miscore:0.37","YDL240W","YLR438C-A"
"154","uniprotkb:Q04748","uniprotkb:P38203","intact-miscore:0.37","YMR066W","YBL026W"
"155","uniprotkb:P40070","uniprotkb:P53622","intact-miscore:0.37","YER112W","YDL145C"
"156","uniprotkb:P32074","uniprotkb:P38203","intact-miscore:0.37","YNL287W","YBL026W"
"157","uniprotkb:P32873","uniprotkb:P38203","intact-miscore:0.37","YPL115C","YBL026W"
"158","uniprotkb:Q12344","uniprotkb:P38203","intact-miscore:0.37","YPL249C","YBL026W"
"159","uniprotkb:P38203","uniprotkb:P12611","intact-miscore:0.37","YBL026W","YOR043W"
"160","uniprotkb:P38203","uniprotkb:P32874","intact-miscore:0.37","YBL026W","YMR207C"
"161","uniprotkb:P47170","uniprotkb:P57743","intact-miscore:0.37","YJR138W","YLR438C-A"
"162","uniprotkb:Q05029","uniprotkb:P38203","intact-miscore:0.37","YMR237W","YBL026W"
"163","uniprotkb:Q12038","uniprotkb:P38203","intact-miscore:0.37","YPR032W","YBL026W"
"164","uniprotkb:P24784","uniprotkb:P38203","intact-miscore:0.37","YPL119C","YBL026W"
"165","uniprotkb:Q07350","uniprotkb:P40070","intact-miscore:0.37","YDL043C","YER112W"
"166","uniprotkb:P53844","uniprotkb:P38203","intact-miscore:0.37","YNL264C","YBL026W"
"167","uniprotkb:P32329","uniprotkb:P38203","intact-miscore:0.37","YLR120C","YBL026W"
"168","uniprotkb:P38203","uniprotkb:Q08562","intact-miscore:0.37","YBL026W","YOR191W"
"169","uniprotkb:P57743","uniprotkb:P38266","intact-miscore:0.37","YLR438C-A","YBR108W"
"170","uniprotkb:P40070","uniprotkb:P18480","intact-miscore:0.37","YER112W","YBR289W"
"171","uniprotkb:P38203","uniprotkb:P39073","intact-miscore:0.37","YBL026W","YPL042C"
"172","uniprotkb:P10862","uniprotkb:P57743","intact-miscore:0.37","YCR066W","YLR438C-A"
"173","uniprotkb:P40070","uniprotkb:Q04119","intact-miscore:0.37","YER112W","YDR452W"
"174","uniprotkb:Q12272","uniprotkb:P38203","intact-miscore:0.37","YOL102C","YBL026W"
"175","uniprotkb:P38203","uniprotkb:P32606","intact-miscore:0.37","YBL026W","YOR017W"
"176","uniprotkb:P40089","uniprotkb:P40070","intact-miscore:0.55","YER146W","YER112W"
"177","uniprotkb:P39939","uniprotkb:P40089","intact-miscore:0.37","YER131W","YER146W"
"178","uniprotkb:P14741","uniprotkb:P40089","intact-miscore:0.37","YKR026C","YER146W"
"179","uniprotkb:P40089","uniprotkb:P40527","intact-miscore:0.37","YER146W","YIL048W"
"180","uniprotkb:P26725","uniprotkb:Q06406","intact-miscore:0.37","YJL139C","YDR378C"
"181","uniprotkb:Q01722","uniprotkb:P40070","intact-miscore:0.37","YNL199C","YER112W"
"182","uniprotkb:P22579","uniprotkb:P40070","intact-miscore:0.37","YOL004W","YER112W"
"183","uniprotkb:P40089","uniprotkb:O13329","intact-miscore:0.37","YER146W","YDR110W"
"184","uniprotkb:P22138","uniprotkb:P40089","intact-miscore:0.37","YPR010C","YER146W"
"185","uniprotkb:P37291","uniprotkb:P40089","intact-miscore:0.37","YLR058C","YER146W"
"186","uniprotkb:P40089","uniprotkb:P42942","intact-miscore:0.37","YER146W","YGR210C"
"187","uniprotkb:Q06217","uniprotkb:Q06406","intact-miscore:0.55","YLR275W","YDR378C"
"188","uniprotkb:P47170","uniprotkb:P40089","intact-miscore:0.37","YJR138W","YER146W"
"189","uniprotkb:P40070","uniprotkb:Q06217","intact-miscore:0.55","YER112W","YLR275W"
"190","uniprotkb:P40089","uniprotkb:P43538","intact-miscore:0.37","YER146W","YFL066C"
"191","uniprotkb:P40089","uniprotkb:P38750","intact-miscore:0.37","YER146W","YHL008C"
"192","uniprotkb:P40070","uniprotkb:P32604","intact-miscore:0.37","YER112W","YJL155C"
"193","uniprotkb:P47029","uniprotkb:P40089","intact-miscore:0.37","YJL084C","YER146W"
"194","uniprotkb:P25270","uniprotkb:P40089","intact-miscore:0.37","YOR201C","YER146W"
"195","uniprotkb:P40070","uniprotkb:P53935","intact-miscore:0.37","YER112W","YNL091W"
"196","uniprotkb:P40089","uniprotkb:P06102","intact-miscore:0.37","YER146W","YIL038C"
"197","uniprotkb:Q06406","uniprotkb:P51979","intact-miscore:0.37","YDR378C","YGL251C"
"198","uniprotkb:Q06406","uniprotkb:Q04991","intact-miscore:0.37","YDR378C","YMR221C"
"199","uniprotkb:P40089","uniprotkb:P25345","intact-miscore:0.37","YER146W","YCR024C"
"200","uniprotkb:P47170","uniprotkb:P40070","intact-miscore:0.37","YJR138W","YER112W"
"201","uniprotkb:P40089","uniprotkb:P32481","intact-miscore:0.37","YER146W","YER025W"
"202","uniprotkb:P33894","uniprotkb:P40070","intact-miscore:0.37","YOR219C","YER112W"
"203","uniprotkb:P40070","uniprotkb:P12866","intact-miscore:0.37","YER112W","YKL209C"
"204","uniprotkb:P12866","uniprotkb:P40089","intact-miscore:0.37","YKL209C","YER146W"
"205","uniprotkb:Q06708","uniprotkb:P40070","intact-miscore:0.37","YLR386W","YER112W"
"206","uniprotkb:P49960","uniprotkb:P40089","intact-miscore:0.37","YMR268C","YER146W"
"207","uniprotkb:P38999","uniprotkb:P47093","intact-miscore:0.37","YNR050C","YJR022W"
"208","uniprotkb:P53147","uniprotkb:P47093","intact-miscore:0.37","YGL096W","YJR022W"
"209","uniprotkb:P14772","uniprotkb:P47093","intact-miscore:0.37","YLL015W","YJR022W"
"210","uniprotkb:P43538","uniprotkb:P53905","intact-miscore:0.37","YFL066C","YNL147W"
"211","uniprotkb:P47093","uniprotkb:P38768","intact-miscore:0.37","YJR022W","YHR034C"
"212","uniprotkb:P39109","uniprotkb:P47093","intact-miscore:0.37","YDR135C","YJR022W"
"213","uniprotkb:P20053","uniprotkb:P53905","intact-miscore:0.55","YPR178W","YNL147W"
"214","uniprotkb:P36117","uniprotkb:P47093","intact-miscore:0.37","YKR021W","YJR022W"
"215","uniprotkb:P47093","uniprotkb:P25644","intact-miscore:0.37","YJR022W","YCR077C"
"216","uniprotkb:P47093","uniprotkb:P39992","intact-miscore:0.37","YJR022W","YEL023C"
"217","uniprotkb:P08566","uniprotkb:P47093","intact-miscore:0.37","YDR127W","YJR022W"
"218","uniprotkb:P47093","uniprotkb:P38074","intact-miscore:0.37","YJR022W","YBR034C"
"219","uniprotkb:P25612","uniprotkb:P47093","intact-miscore:0.37","YCR107W","YJR022W"
"220","uniprotkb:Q07468","uniprotkb:P53905","intact-miscore:0.37","YDL077C","YNL147W"
"221","uniprotkb:P38228","uniprotkb:P47093","intact-miscore:0.37","YBR044C","YJR022W"
"222","uniprotkb:P47093","uniprotkb:P39081","intact-miscore:0.37","YJR022W","YDR228C"
"223","uniprotkb:P18900","uniprotkb:P47093","intact-miscore:0.37","YBR003W","YJR022W"
"224","uniprotkb:P38769","uniprotkb:P47093","intact-miscore:0.37","YHR035W","YJR022W"
"225","uniprotkb:P40438","uniprotkb:P47093","intact-miscore:0.37","YIL173W","YJR022W"
"226","uniprotkb:P20485","uniprotkb:P47093","intact-miscore:0.37","YLR133W","YJR022W"
"227","uniprotkb:P23059","uniprotkb:P47093","intact-miscore:0.37","YCR020C-A","YJR022W"
"228","uniprotkb:P47093","uniprotkb:P41544","intact-miscore:0.37","YJR022W","YJL004C"
"229","uniprotkb:P47093","uniprotkb:Q00416","intact-miscore:0.37","YJR022W","YLR430W"
"230","uniprotkb:P49960","uniprotkb:P53905","intact-miscore:0.55","YMR268C","YNL147W"
"231","uniprotkb:P53952","uniprotkb:P47093","intact-miscore:0.37","YNL050C","YJR022W"
"232","uniprotkb:P47093","uniprotkb:P53742","intact-miscore:0.37","YJR022W","YNR053C"
"233","uniprotkb:P47093","uniprotkb:P53189","intact-miscore:0.37","YJR022W","YGL028C"
"234","uniprotkb:P35198","uniprotkb:P47093","intact-miscore:0.37","YDR277C","YJR022W"
"235","uniprotkb:P40480","uniprotkb:P53905","intact-miscore:0.37","YIL112W","YNL147W"
"236","uniprotkb:P54861","uniprotkb:P53550","intact-miscore:0.37","YLL001W","YNL118C"
"237","uniprotkb:Q03667","uniprotkb:P25644","intact-miscore:0.37","YMR002W","YCR077C"
"238","uniprotkb:P53550","uniprotkb:P34219","intact-miscore:0.37","YNL118C","YBL054W"
"239","uniprotkb:P05085","uniprotkb:P53550","intact-miscore:0.37","YML099C","YNL118C"
"240","uniprotkb:P38873","uniprotkb:P53550","intact-miscore:0.37","YHR186C","YNL118C"
"241","uniprotkb:P53550","uniprotkb:P46963","intact-miscore:0.37","YNL118C","YML112W"
"242","uniprotkb:P40570","uniprotkb:P53550","intact-miscore:0.37","YIR014W","YNL118C"
"243","uniprotkb:P53550","uniprotkb:P23615","intact-miscore:0.37","YNL118C","YGR116W"
"244","uniprotkb:P47093","uniprotkb:P33760","intact-miscore:0.37","YJR022W","YNL329C"
"245","uniprotkb:P39936","uniprotkb:P53550","intact-miscore:0.37","YGL049C","YNL118C"
"246","uniprotkb:P53550","uniprotkb:P25339","intact-miscore:0.37","YNL118C","YGL014W"
"247","uniprotkb:P22147","uniprotkb:P53550","intact-miscore:0.55","YGL173C","YNL118C"
"248","uniprotkb:P53550","uniprotkb:P06738","intact-miscore:0.37","YNL118C","YPR160W"
"249","uniprotkb:P18544","uniprotkb:P47093","intact-miscore:0.37","YOL140W","YJR022W"
"250","uniprotkb:P53550","uniprotkb:P07256","intact-miscore:0.37","YNL118C","YBL045C"
"251","uniprotkb:P54786","uniprotkb:P25644","intact-miscore:0.37","YML109W","YCR077C"
"252","uniprotkb:P38065","uniprotkb:P53550","intact-miscore:0.37","YBL037W","YNL118C"
"253","uniprotkb:P16862","uniprotkb:P47093","intact-miscore:0.37","YMR205C","YJR022W"
"254","uniprotkb:P08638","uniprotkb:P53550","intact-miscore:0.37","YLR451W","YNL118C"
"255","uniprotkb:P25659","uniprotkb:P53550","intact-miscore:0.37","YCR076C","YNL118C"
"256","uniprotkb:P38198","uniprotkb:P53550","intact-miscore:0.37","YBL034C","YNL118C"
"257","uniprotkb:P47093","uniprotkb:P53855","intact-miscore:0.37","YJR022W","YNL242W"
"258","uniprotkb:P49955","uniprotkb:P25644","intact-miscore:0.37","YMR288W","YCR077C"
"259","uniprotkb:P36126","uniprotkb:P53550","intact-miscore:0.37","YKR031C","YNL118C"
"260","uniprotkb:P47094","uniprotkb:P53550","intact-miscore:0.37","YJR023C","YNL118C"
"261","uniprotkb:P36022","uniprotkb:P53550","intact-miscore:0.37","YKR054C","YNL118C"
"262","uniprotkb:P53550","uniprotkb:P36066","intact-miscore:0.37","YNL118C","YKL133C"
"263","uniprotkb:P30775","uniprotkb:P25644","intact-miscore:0.37","YGL143C","YCR077C"
"264","uniprotkb:P53550","uniprotkb:P40576","intact-miscore:0.37","YNL118C","YIR024C"
"265","uniprotkb:P53550","uniprotkb:P52891","intact-miscore:0.37","YNL118C","YDL116W"
"266","uniprotkb:P47093","uniprotkb:P53863","intact-miscore:0.37","YJR022W","YNL227C"
"267","uniprotkb:P17121","uniprotkb:P25644","intact-miscore:0.37","YDR389W","YCR077C"
"268","uniprotkb:P25644","uniprotkb:Q01684","intact-miscore:0.37","YCR077C","YER115C"
"269","uniprotkb:P53550","uniprotkb:Q01476","intact-miscore:0.37","YNL118C","YOR124C"
"270","uniprotkb:P53727","uniprotkb:P25644","intact-miscore:0.37","YNR027W","YCR077C"
"271","uniprotkb:Q12068","uniprotkb:P53550","intact-miscore:0.37","YOL151W","YNL118C"
"272","uniprotkb:P47093","uniprotkb:P20053","intact-miscore:0.66","YJR022W","YPR178W"
"273","uniprotkb:P36161","uniprotkb:P46673","intact-miscore:0.55","YKR082W","YJR042W"
"274","uniprotkb:Q02724","uniprotkb:Q12306","intact-miscore:0.44","YPL020C","YDR510W"
"275","uniprotkb:P01094","uniprotkb:P07267","intact-miscore:0.44","YMR174C","YPL154C"
"276","uniprotkb:P0CG63","uniprotkb:P36075","intact-miscore:0.44","YLL039C","YKL090W"
"277","uniprotkb:P25591","uniprotkb:P19524","intact-miscore:0.55","YCL063W","YOR326W"
"278","uniprotkb:P13393","uniprotkb:P32333","intact-miscore:0.80","YER148W","YPL082C"
"279","uniprotkb:P21264","uniprotkb:P21264","intact-miscore:0.37","YOR128C","YOR128C"
"280","uniprotkb:P10862","uniprotkb:P21264","intact-miscore:0.37","YCR066W","YOR128C"
"281","uniprotkb:P25365","uniprotkb:P21264","intact-miscore:0.37","YCR067C","YOR128C"
"282","uniprotkb:P38275","uniprotkb:P21264","intact-miscore:0.37","YBR134W","YOR128C"
"283","uniprotkb:Q12343","uniprotkb:P04161","intact-miscore:0.37","YOR174W","YDR408C"
"284","uniprotkb:P38633","uniprotkb:P04161","intact-miscore:0.37","YGL127C","YDR408C"
