"","Uniprot_InteractorA","Uniprot_InteractorB","Confidence.value.s.","InteractorA","InteractorB"
"25298","uniprotkb:P36149","uniprotkb:P32893","intact-miscore:0.68","YKR068C","YGR166W"
"25299","uniprotkb:P01123","uniprotkb:Q04183","intact-miscore:0.40","YFL038C","YDR407C"
"25300","uniprotkb:P53197","uniprotkb:P53068","intact-miscore:0.32","YGL003C","YGL240W"
"25301","uniprotkb:P24869","uniprotkb:P53068","intact-miscore:0.44","YPR119W","YGL240W"
"25302","uniprotkb:P32492","uniprotkb:P51534","intact-miscore:0.56","YAL029C","YOR035C"
"25303","uniprotkb:P54861","uniprotkb:P54861","intact-miscore:0.70","YLL001W","YLL001W"
"25304","uniprotkb:Q08683","uniprotkb:Q04601","intact-miscore:0.77","YOR249C","YDR118W"
"25305","uniprotkb:P53886","uniprotkb:P53886","intact-miscore:0.40","YNL172W","YNL172W"
"25306","uniprotkb:P53068","uniprotkb:Q12157","intact-miscore:0.53","YGL240W","YDL008W"
"25307","uniprotkb:P53068","uniprotkb:P53886","intact-miscore:0.73","YGL240W","YNL172W"
"25308","uniprotkb:P53068","uniprotkb:Q12440","intact-miscore:0.76","YGL240W","YLR127C"
"25309","uniprotkb:P53068","uniprotkb:Q04601","intact-miscore:0.79","YGL240W","YDR118W"
"25310","uniprotkb:P53068","uniprotkb:Q08683","intact-miscore:0.71","YGL240W","YOR249C"
"25311","uniprotkb:P53068","uniprotkb:Q12107","intact-miscore:0.32","YGL240W","YLR102C"
"25312","uniprotkb:P53068","uniprotkb:P09798","intact-miscore:0.90","YGL240W","YKL022C"
"25313","uniprotkb:P53068","uniprotkb:P16522","intact-miscore:0.76","YGL240W","YHR166C"
"25314","uniprotkb:P53068","uniprotkb:P40577","intact-miscore:0.76","YGL240W","YIR025W"
"25315","uniprotkb:P38042","uniprotkb:P53068","intact-miscore:0.79","YBL084C","YGL240W"
"25316","uniprotkb:P06701","uniprotkb:P11938","intact-miscore:0.75","YLR442C","YNL216W"
"25317","uniprotkb:P53853","uniprotkb:Q07794","intact-miscore:0.97","YNL246W","YLL002W"
"25318","uniprotkb:P61830","uniprotkb:Q07794","intact-miscore:0.44","YBR010W","YLL002W"
"25319","uniprotkb:P61830","uniprotkb:P53853","intact-miscore:0.44","YBR010W","YNL246W"
"25320","uniprotkb:P21524","uniprotkb:P09938","intact-miscore:0.82","YER070W","YJL026W"
"25321","uniprotkb:P21524","uniprotkb:P49723","intact-miscore:0.80","YER070W","YGR180C"
"25322","uniprotkb:P20434","uniprotkb:P07273","intact-miscore:0.70","YBR154C","YGL043W"
"25323","uniprotkb:P41910","uniprotkb:P19454","intact-miscore:0.40","YDR005C","YOR061W"
"25324","uniprotkb:P05453","uniprotkb:P05453","intact-miscore:0.93","YDR172W","YDR172W"
"25325","uniprotkb:P20449","uniprotkb:P40477","intact-miscore:0.66","YOR046C","YIL115C"
"25326","uniprotkb:Q12315","uniprotkb:P20449","intact-miscore:0.76","YDL207W","YOR046C"
"25327","uniprotkb:P31539","uniprotkb:P31539","intact-miscore:0.66","YLL026W","YLL026W"
"25328","uniprotkb:P25299","uniprotkb:P25298","intact-miscore:0.86","YGL044C","YMR061W"
"25329","uniprotkb:P38293","uniprotkb:Q05778","intact-miscore:0.59","YBR173C","YLR199C"
"25330","uniprotkb:P40091","uniprotkb:P06780","intact-miscore:0.27","YER149C","YPR165W"
"25331","uniprotkb:P23201","uniprotkb:P40091","intact-miscore:0.65","YLL021W","YER149C"
"25332","uniprotkb:Q04373","uniprotkb:P36068","intact-miscore:0.50","YDR496C","YKL130C"
"25333","uniprotkb:P32492","uniprotkb:P36068","intact-miscore:0.68","YAL029C","YKL130C"
"25334","uniprotkb:P32492","uniprotkb:P38272","intact-miscore:0.93","YAL029C","YBR130C"
"25335","uniprotkb:P38272","uniprotkb:P36068","intact-miscore:0.86","YBR130C","YKL130C"
"25336","uniprotkb:P40482","uniprotkb:P15303","intact-miscore:0.78","YIL109C","YPR181C"
"25337","uniprotkb:P29295","uniprotkb:P15303","intact-miscore:0.70","YPL204W","YPR181C"
"25338","uniprotkb:P40482","uniprotkb:P29295","intact-miscore:0.44","YIL109C","YPL204W"
"25339","uniprotkb:P20606","uniprotkb:P15303","intact-miscore:0.67","YPL218W","YPR181C"
"25340","uniprotkb:Q99394","uniprotkb:P15303","intact-miscore:0.50","YOR115C","YPR181C"
"25341","uniprotkb:P36012","uniprotkb:P02309","intact-miscore:0.52","YKL049C","YBR009C"
"25342","uniprotkb:P36012","uniprotkb:Q12334","intact-miscore:0.76","YKL049C","YDL139C"
"25343","uniprotkb:P32769","uniprotkb:P33309","intact-miscore:0.83","YKR084C","YNL001W"
"25344","uniprotkb:Q01919","uniprotkb:P07866","intact-miscore:0.40","YOR233W","YAL024C"
"25345","uniprotkb:Q12306","uniprotkb:P11938","intact-miscore:0.40","YDR510W","YNL216W"
"25346","uniprotkb:P32807","uniprotkb:Q12306","intact-miscore:0.52","YMR284W","YDR510W"
"25347","uniprotkb:Q04437","uniprotkb:Q12306","intact-miscore:0.52","YMR106C","YDR510W"
"25348","uniprotkb:P32797","uniprotkb:Q12306","intact-miscore:0.52","YDL220C","YDR510W"
"25349","uniprotkb:P07271","uniprotkb:Q12306","intact-miscore:0.52","YML061C","YDR510W"
"25350","uniprotkb:P47160","uniprotkb:Q04338","intact-miscore:0.75","YJR125C","YMR197C"
"25351","uniprotkb:P25694","uniprotkb:P32628","intact-miscore:0.50","YDL126C","YEL037C"
"25352","uniprotkb:P25694","uniprotkb:P54860","intact-miscore:0.83","YDL126C","YDL190C"
"25353","uniprotkb:P53044","uniprotkb:P25694","intact-miscore:0.92","YGR048W","YDL126C"
"25354","uniprotkb:P33297","uniprotkb:P32628","intact-miscore:0.59","YOR117W","YEL037C"
"25355","uniprotkb:P40056","uniprotkb:P53192","intact-miscore:0.75","YER083C","YGL020C"
"25356","uniprotkb:Q12154","uniprotkb:P40056","intact-miscore:0.89","YDL100C","YER083C"
"25357","uniprotkb:P53192","uniprotkb:Q12154","intact-miscore:0.93","YGL020C","YDL100C"
