protein_id_ensemble,gene_id_ensemble,gene_symbol,QTL_type,percent_variance,p_val,significant_eQTL,Significant_eQTL_rep,Significant_pQTL
ENSMUSP00000105358,ENSMUSG00000052926,Rnaseh2a,DISTANT,16.12,0.099,1,0,0
ENSMUSP00000056855,ENSMUSG00000060679,Mrps9,LOCAL,29.1,0,1,1,0
ENSMUSP00000019516,ENSMUSG00000075590,Nrbp2,DISTANT,16.5,0.076,1,0,0
ENSMUSP00000119939,ENSMUSG00000057363,Uxs1,LOCAL,22.87,0,1,1,0
ENSMUSP00000022842,ENSMUSG00000022234,Cct5,DISTANT,16.2,0.094,1,0,0
ENSMUSP00000032078,ENSMUSG00000030007,Cct7,DISTANT,17.2,0.043,1,0,0
ENSMUSP00000038938,ENSMUSG00000033323,Ctdp1,DISTANT,16.89,0.054,1,0,0
ENSMUSP00000083620,ENSMUSG00000026042,Col5a2,LOCAL,39,0,1,1,0
ENSMUSP00000027214,ENSMUSG00000026048,Ercc5,LOCAL,59.38,0,1,1,1
ENSMUSP00000054421,ENSMUSG00000043424,Eif3j2,DISTANT,16.23,0.093,1,0,0
ENSMUSP00000055694,ENSMUSG00000045954,Sdpr,LOCAL,32.92,0,1,1,0
ENSMUSP00000125427,ENSMUSG00000048495,Tyw5,LOCAL,16.97,0.05,1,0,0
ENSMUSP00000027271,ENSMUSG00000026102,Inpp1,LOCAL,37.94,0,1,1,1
ENSMUSP00000066696,ENSMUSG00000002881,Nab1,LOCAL,18.16,0.019,1,1,0
ENSMUSP00000040447,ENSMUSG00000018417,Myo1b,LOCAL,20.3,0.002,1,1,1
ENSMUSP00000045606,ENSMUSG00000041426,Hibch,LOCAL,53.97,0,1,1,1
ENSMUSP00000095346,ENSMUSG00000073678,Pgap1,LOCAL,16.12,0.1,1,1,1
ENSMUSP00000039420,ENSMUSG00000041303,Gtf3c3,LOCAL,40.01,0,1,1,0
ENSMUSP00000049770,ENSMUSG00000046994,Mars2,LOCAL,31.89,0,1,1,0
ENSMUSP00000027185,ENSMUSG00000026027,Stradb,LOCAL,38.65,0,1,1,0
ENSMUSP00000040240,ENSMUSG00000038323,1700066M21Rik,LOCAL,33.52,0,1,1,1
ENSMUSP00000051935,ENSMUSG00000051223,Bzw1,LOCAL,21.56,0.001,1,0,0
ENSMUSP00000049391,ENSMUSG00000064294,Aox3,LOCAL,29.73,0,1,1,0
ENSMUSP00000027265,ENSMUSG00000026096,Osgepl1,LOCAL,16.3,0.087,1,0,1
ENSMUSP00000001027,ENSMUSG00000063558,Aox1,LOCAL,70.79,0,1,1,1
ENSMUSP00000087608,ENSMUSG00000021900,Btd,DISTANT,17.46,0.034,1,0,0
ENSMUSP00000084799,ENSMUSG00000026036,Nif3l1,LOCAL,17.68,0.028,1,0,1
ENSMUSP00000109482,ENSMUSG00000034744,Nagk,DISTANT,17.24,0.041,1,0,0
ENSMUSP00000027193,ENSMUSG00000026032,Ndufb3,LOCAL,21.89,0,1,0,0
ENSMUSP00000027189,ENSMUSG00000026029,Casp8,LOCAL,76.91,0,1,1,1
ENSMUSP00000027178,ENSMUSG00000026024,Als2,LOCAL,56.91,0,1,1,1
ENSMUSP00000127034,ENSMUSG00000059796,Eif4a1,DISTANT,35.61,0,1,1,0
ENSMUSP00000050823,ENSMUSG00000049439,Cyp20a1,LOCAL,28.62,0,1,1,1
ENSMUSP00000058936,ENSMUSG00000038298,Pdzk1,DISTANT,16.16,0.096,1,0,0
ENSMUSP00000027168,ENSMUSG00000026014,Raph1,LOCAL,18.39,0.015,1,1,1
ENSMUSP00000040126,ENSMUSG00000042099,Kank3,DISTANT,17.05,0.047,1,0,0
ENSMUSP00000116492,ENSMUSG00000025967,Eef1b2,LOCAL,22.97,0,1,0,0
ENSMUSP00000084633,ENSMUSG00000025964,Adam23,LOCAL,17.21,0.043,1,1,0
ENSMUSP00000095316,ENSMUSG00000025950,Idh1,LOCAL,16.25,0.092,1,0,1
ENSMUSP00000109713,ENSMUSG00000025956,Mettl21a,LOCAL,34.76,0,1,1,1
ENSMUSP00000054499,ENSMUSG00000026193,Fn1,LOCAL,24.61,0,1,0,0
ENSMUSP00000124305,ENSMUSG00000064373,Sepp1,DISTANT,17.64,0.029,1,0,0
ENSMUSP00000027384,ENSMUSG00000026192,Atic,LOCAL,47.6,0,1,1,1
ENSMUSP00000058919,ENSMUSG00000046330,Rpl37a,LOCAL,20.41,0.002,1,1,0
ENSMUSP00000041878,ENSMUSG00000039395,Mreg,LOCAL,19.93,0.003,1,1,0
ENSMUSP00000027381,ENSMUSG00000026189,Pecr,LOCAL,27.88,0,1,1,1
ENSMUSP00000047589,ENSMUSG00000039354,Smarcal1,LOCAL,29.69,0,1,1,0
ENSMUSP00000084466,ENSMUSG00000026174,Rqcd1,LOCAL,26.49,0,1,1,0
ENSMUSP00000099790,ENSMUSG00000028552,Eps15,DISTANT,16.21,0.094,1,0,0
ENSMUSP00000047449,ENSMUSG00000033124,Atg9a,LOCAL,19.44,0.005,1,1,0
ENSMUSP00000027370,ENSMUSG00000026179,Pnkd,LOCAL,33.8,0,1,1,1
ENSMUSP00000109436,ENSMUSG00000026179,Pnkd,LOCAL,33.8,0,1,1,1
ENSMUSP00000109451,ENSMUSG00000006304,Arpc2,LOCAL,29.34,0,1,1,0
ENSMUSP00000124552,ENSMUSG00000026197,Zfand2b,LOCAL,16.54,0.073,1,1,0
ENSMUSP00000095300,ENSMUSG00000049339,Fam134a,LOCAL,21.74,0.001,1,1,0
ENSMUSP00000136285,ENSMUSG00000026200,Glb1l,LOCAL,20.45,0.002,1,0,1
ENSMUSP00000035564,ENSMUSG00000033021,Gmppa,LOCAL,42.89,0,1,1,1
ENSMUSP00000027367,ENSMUSG00000026176,Ctdsp1,LOCAL,18.31,0.016,1,1,0
ENSMUSP00000045291,ENSMUSG00000032883,Acsl3,LOCAL,21.91,0,1,1,0
ENSMUSP00000132488,ENSMUSG00000090486,BC035947,LOCAL,17.25,0.041,1,1,0
ENSMUSP00000109140,ENSMUSG00000073643,Wdfy1,LOCAL,80.1,0,1,1,1
ENSMUSP00000027467,ENSMUSG00000026249,Serpine2,LOCAL,44.38,0,1,1,1
ENSMUSP00000027464,ENSMUSG00000026248,Mrpl44,LOCAL,22.68,0,1,1,1
ENSMUSP00000063795,ENSMUSG00000055980,Irs1,LOCAL,18.8,0.009,1,0,0
ENSMUSP00000027421,ENSMUSG00000026219,Trip12,LOCAL,28.37,0,1,1,0
ENSMUSP00000131459,ENSMUSG00000026227,2810459M11Rik,LOCAL,42.34,0,1,1,0
ENSMUSP00000020190,ENSMUSG00000020010,Vnn3,DISTANT,17.18,0.043,1,0,0
ENSMUSP00000132673,ENSMUSG00000053333,Dis3l2,LOCAL,33.5,0,1,1,1
ENSMUSP00000044188,ENSMUSG00000026238,Ptma,LOCAL,23.37,0,1,1,0
ENSMUSP00000108858,ENSMUSG00000026254,Eif4e2,LOCAL,25.82,0,1,0,0
ENSMUSP00000108987,ENSMUSG00000036707,Cab39,LOCAL,19.91,0.003,1,1,1
ENSMUSP00000072803,ENSMUSG00000089960,Ugt1a1,LOCAL,32.23,0,1,1,0
ENSMUSP00000027512,ENSMUSG00000026289,Atg16l1,LOCAL,18.1,0.02,1,1,1
ENSMUSP00000073444,ENSMUSG00000090175,Ugt1a9,LOCAL,41.31,0,1,1,1
ENSMUSP00000108767,ENSMUSG00000090165,Ugt1a10,LOCAL,63.44,0,1,1,1
ENSMUSP00000108759,ENSMUSG00000054545,Ugt1a6a,LOCAL,35.37,0,1,1,0
ENSMUSP00000095263,ENSMUSG00000089943,Ugt1a5,LOCAL,35.26,0,1,1,0
ENSMUSP00000038533,ENSMUSG00000005501,Usp40,LOCAL,28.02,0,1,1,0
ENSMUSP00000027518,ENSMUSG00000026295,Spp2,LOCAL,38.12,0,1,1,0
ENSMUSP00000108763,ENSMUSG00000090145,Ugt1a6b,LOCAL,31.21,0,1,1,1
ENSMUSP00000027534,ENSMUSG00000026309,Ilkap,LOCAL,16.47,0.077,1,1,0
ENSMUSP00000027529,ENSMUSG00000026304,Rab17,LOCAL,25.72,0,1,1,1
ENSMUSP00000095254,ENSMUSG00000026305,Lrrfip1,LOCAL,46.35,0,1,1,0
ENSMUSP00000035884,ENSMUSG00000034432,Cops8,LOCAL,20.9,0.001,1,1,0
ENSMUSP00000027532,ENSMUSG00000026307,Scly,LOCAL,47.99,0,1,1,1
ENSMUSP00000054303,ENSMUSG00000034343,Ube2f,LOCAL,28.59,0,1,1,0
ENSMUSP00000113835,ENSMUSG00000022974,Paxbp1,DISTANT,16.94,0.051,1,0,0
ENSMUSP00000025541,ENSMUSG00000024639,Gnaq,DISTANT,17.66,0.029,1,0,0
ENSMUSP00000027491,ENSMUSG00000026272,Agxt,LOCAL,24.02,0,1,1,1
ENSMUSP00000057690,ENSMUSG00000047067,Dusp28,LOCAL,35.24,0,1,1,1
ENSMUSP00000095235,ENSMUSG00000073609,D2hgdh,LOCAL,52.79,0,1,1,1
ENSMUSP00000068487,ENSMUSG00000056429,Tgoln1,DISTANT,17.23,0.042,1,0,0
ENSMUSP00000103536,ENSMUSG00000018428,Akap1,DISTANT,16.33,0.085,1,0,0
ENSMUSP00000112725,ENSMUSG00000034066,Farp2,LOCAL,23.59,0,1,0,0
ENSMUSP00000113790,ENSMUSG00000034066,Farp2,LOCAL,23.59,0,1,0,0
ENSMUSP00000058368,ENSMUSG00000045128,Rpl18a,DISTANT,28.63,0,1,1,0
ENSMUSP00000108356,ENSMUSG00000009907,Vps4b,LOCAL,29.14,0,1,0,0
ENSMUSP00000108326,ENSMUSG00000026315,Serpinb8,LOCAL,64.53,0,1,1,1
ENSMUSP00000010049,ENSMUSG00000009905,Kdsr,LOCAL,58.62,0,1,1,1
ENSMUSP00000003818,ENSMUSG00000003721,Insig2,LOCAL,23.28,0,1,1,0
ENSMUSP00000027626,ENSMUSG00000026377,Mki67ip,LOCAL,38.05,0,1,1,1
ENSMUSP00000108260,ENSMUSG00000026389,Steap3,LOCAL,52.72,0,1,1,1
ENSMUSP00000042416,ENSMUSG00000036975,Tmem177,LOCAL,16.8,0.058,1,0,1
ENSMUSP00000043442,ENSMUSG00000026339,Ccdc93,LOCAL,45.91,0,1,1,1
ENSMUSP00000027581,ENSMUSG00000026343,Gpr39,LOCAL,31.27,0,1,1,0
ENSMUSP00000027601,ENSMUSG00000026355,Mcm6,LOCAL,23.32,0,1,1,0
ENSMUSP00000030787,ENSMUSG00000028945,Rheb,DISTANT,16.66,0.066,1,0,0
ENSMUSP00000048482,ENSMUSG00000026348,Acmsd,LOCAL,20.34,0.002,1,1,0
ENSMUSP00000110087,ENSMUSG00000071533,Pcnp,DISTANT,16.49,0.076,1,0,0
ENSMUSP00000027675,ENSMUSG00000026417,Pigr,LOCAL,27.69,0,1,1,0
ENSMUSP00000108065,ENSMUSG00000026427,Eif2d,LOCAL,19.95,0.003,1,0,0
ENSMUSP00000108012,ENSMUSG00000042251,Pm20d1,LOCAL,81.92,0,1,1,1
ENSMUSP00000073072,ENSMUSG00000004552,Ctse,LOCAL,59.65,0,1,1,1
ENSMUSP00000054126,ENSMUSG00000042349,Ikbke,LOCAL,27.53,0,1,1,1
ENSMUSP00000027700,ENSMUSG00000026439,Rbbp5,LOCAL,21.15,0.001,1,0,0
ENSMUSP00000114272,ENSMUSG00000070644,Etnk2,LOCAL,17.58,0.031,1,1,0
ENSMUSP00000097561,ENSMUSG00000051747,Ttn,DISTANT,17.45,0.035,1,0,0
ENSMUSP00000076564,ENSMUSG00000041926,Rnpep,LOCAL,37.14,0,1,1,1
ENSMUSP00000027726,ENSMUSG00000026456,Cyb5r1,LOCAL,45.75,0,1,1,1
ENSMUSP00000119242,ENSMUSG00000026463,Atp2b4,LOCAL,25.35,0,1,1,1
ENSMUSP00000061893,ENSMUSG00000018381,Abi3,DISTANT,16.46,0.078,1,0,0
ENSMUSP00000038335,ENSMUSG00000042229,Rabif,LOCAL,16.45,0.078,1,0,0
ENSMUSP00000036093,ENSMUSG00000041879,Ipo9,LOCAL,55.43,0,1,1,0
ENSMUSP00000095169,ENSMUSG00000026421,Csrp1,LOCAL,17.46,0.034,1,0,0
ENSMUSP00000031002,ENSMUSG00000029119,Man2b2,DISTANT,17.38,0.037,1,0,0
ENSMUSP00000041920,ENSMUSG00000041570,Camsap2,LOCAL,17.17,0.043,1,1,0
ENSMUSP00000027642,ENSMUSG00000026393,Nek7,LOCAL,25.93,0,1,1,0
ENSMUSP00000125623,ENSMUSG00000018199,Trove2,LOCAL,26.63,0,1,1,0
ENSMUSP00000027612,ENSMUSG00000070594,Gm4788,LOCAL,77.94,0,1,1,0
ENSMUSP00000027615,ENSMUSG00000026368,F13b,LOCAL,17.06,0.046,1,0,0
ENSMUSP00000023965,ENSMUSG00000057037,Cfhr1,LOCAL,82.21,0,1,1,1
ENSMUSP00000001002,ENSMUSG00000000976,Heatr6,DISTANT,16.29,0.087,1,0,0
ENSMUSP00000115822,ENSMUSG00000026483,Fam129a,LOCAL,16.2,0.094,1,0,0
ENSMUSP00000107544,ENSMUSG00000006010,BC003331,LOCAL,23.24,0,1,0,0
ENSMUSP00000125677,ENSMUSG00000006014,Prg4,LOCAL,26.3,0,1,0,0
ENSMUSP00000068309,ENSMUSG00000053286,Trmt1l,LOCAL,16.68,0.063,1,0,1
ENSMUSP00000021380,ENSMUSG00000020993,Trappc6b,DISTANT,17.29,0.04,1,0,0
ENSMUSP00000076933,ENSMUSG00000008475,Arpc5,LOCAL,38.94,0,1,1,0
ENSMUSP00000023856,ENSMUSG00000023094,Msrb2,DISTANT,16.63,0.067,1,0,0
ENSMUSP00000027752,ENSMUSG00000026478,Lamc1,LOCAL,17.31,0.04,1,0,0
ENSMUSP00000037454,ENSMUSG00000042684,Npl,LOCAL,31.02,0,1,1,1
ENSMUSP00000123122,ENSMUSG00000032480,Dhx30,DISTANT,17.51,0.033,1,0,0
ENSMUSP00000080685,ENSMUSG00000038024,Dennd4c,DISTANT,17.2,0.043,1,0,0
ENSMUSP00000025421,ENSMUSG00000079614,Seh1l,DISTANT,18.6,0.012,1,0,0
ENSMUSP00000035658,ENSMUSG00000033684,Qsox1,LOCAL,26.73,0,1,0,0
ENSMUSP00000133815,ENSMUSG00000090877,Hspa1b,DISTANT,16.46,0.078,1,0,0
ENSMUSP00000083300,ENSMUSG00000026589,Sec16b,LOCAL,27,0,1,0,1
ENSMUSP00000107387,ENSMUSG00000050565,Tor1aip2,LOCAL,49.13,0,1,1,1
ENSMUSP00000095134,ENSMUSG00000026466,Tor1aip1,LOCAL,26.03,0,1,1,0
ENSMUSP00000112534,ENSMUSG00000033557,Fam20b,LOCAL,69.89,0,1,1,0
ENSMUSP00000044945,ENSMUSG00000033488,BC026585,LOCAL,50.34,0,1,1,1
ENSMUSP00000070868,ENSMUSG00000056220,Pla2g4a,LOCAL,19.11,0.007,1,0,0
ENSMUSP00000063872,ENSMUSG00000026594,Ralgps2,LOCAL,20.07,0.003,1,1,0
ENSMUSP00000114964,ENSMUSG00000070565,Rasal2,LOCAL,20.31,0.002,1,1,0
ENSMUSP00000028014,ENSMUSG00000026692,Fmo4,LOCAL,29.15,0,1,1,1
ENSMUSP00000107285,ENSMUSG00000058267,Mrps14,LOCAL,41.12,0,1,1,0
ENSMUSP00000068971,ENSMUSG00000026715,Serpinc1,LOCAL,24.9,0,1,1,0
ENSMUSP00000041851,ENSMUSG00000026709,Dars2,LOCAL,40.92,0,1,1,1
ENSMUSP00000112081,ENSMUSG00000027642,Rpn2,DISTANT,16.31,0.086,1,0,0
ENSMUSP00000037259,ENSMUSG00000040181,Fmo1,LOCAL,33.68,0,1,1,1
ENSMUSP00000107135,ENSMUSG00000040170,Fmo2,LOCAL,28.23,0,1,1,1
ENSMUSP00000083192,ENSMUSG00000026575,Nme7,LOCAL,42.65,0,1,1,0
ENSMUSP00000083204,ENSMUSG00000026579,F5,LOCAL,16.84,0.056,1,0,0
ENSMUSP00000037514,ENSMUSG00000040843,Tiprl,LOCAL,39.88,0,1,1,1
ENSMUSP00000027856,ENSMUSG00000026571,Dcaf6,LOCAL,21.87,0,1,1,0
ENSMUSP00000043537,ENSMUSG00000040848,Sft2d2,LOCAL,24.01,0,1,1,0
ENSMUSP00000027853,ENSMUSG00000026568,Mpc2,LOCAL,20.78,0.001,1,1,0
ENSMUSP00000107060,ENSMUSG00000040713,Creg1,LOCAL,25.32,0,1,1,0
ENSMUSP00000095081,ENSMUSG00000052428,Tmco1,LOCAL,30.93,0,1,1,0
ENSMUSP00000028004,ENSMUSG00000026687,Aldh9a1,LOCAL,31.03,0,1,1,0
ENSMUSP00000028005,ENSMUSG00000026688,Mgst3,LOCAL,42.55,0,1,1,1
ENSMUSP00000103982,ENSMUSG00000047213,Ythdf3,DISTANT,16.51,0.075,1,0,0
ENSMUSP00000027839,ENSMUSG00000026558,Uck2,LOCAL,37.36,0,1,1,0
ENSMUSP00000137123,ENSMUSG00000030592,Ryr1,DISTANT,18.21,0.018,1,0,0
ENSMUSP00000069554,ENSMUSG00000053110,Yap1,DISTANT,20.33,0.002,1,0,0
ENSMUSP00000005548,ENSMUSG00000005413,Hmox1,DISTANT,16.21,0.093,1,0,0
ENSMUSP00000027970,ENSMUSG00000026659,Dusp12,LOCAL,62.75,0,1,1,1
ENSMUSP00000003550,ENSMUSG00000003458,Ncstn,LOCAL,41.28,0,1,1,0
ENSMUSP00000106964,ENSMUSG00000038370,Pcp4l1,LOCAL,46.63,0,1,1,1
ENSMUSP00000072863,ENSMUSG00000062729,Ppox,LOCAL,24.53,0,1,1,1
ENSMUSP00000079882,ENSMUSG00000026656,Fcgr2b,LOCAL,20.56,0.002,1,0,0
ENSMUSP00000118179,ENSMUSG00000026553,Copa,LOCAL,34.7,0,1,0,0
ENSMUSP00000132771,ENSMUSG00000091166,Tstd1,LOCAL,26.26,0,1,1,1
ENSMUSP00000106920,ENSMUSG00000013997,Nit1,LOCAL,23.41,0,1,1,0
ENSMUSP00000041907,ENSMUSG00000038235,F11r,LOCAL,42.77,0,1,1,0
ENSMUSP00000075289,ENSMUSG00000003464,Pex19,LOCAL,37.81,0,1,1,1
ENSMUSP00000009340,ENSMUSG00000026536,Mnda,LOCAL,34.45,0,1,1,0
ENSMUSP00000073778,ENSMUSG00000026554,Dcaf8,LOCAL,20.45,0.002,1,0,1
ENSMUSP00000092502,ENSMUSG00000044533,Rps2,DISTANT,19.05,0.007,1,0,0
ENSMUSP00000027826,ENSMUSG00000026544,Dusp23,LOCAL,65.45,0,1,1,1
ENSMUSP00000027824,ENSMUSG00000026542,Apcs,LOCAL,31.92,0,1,1,1
ENSMUSP00000000266,ENSMUSG00000026535,Ifi202b,LOCAL,51.4,0,1,1,1
ENSMUSP00000044665,ENSMUSG00000037942,Crp,LOCAL,23.87,0,1,1,0
ENSMUSP00000106841,ENSMUSG00000090272,Mndal,LOCAL,78.52,0,1,1,1
ENSMUSP00000106845,ENSMUSG00000073489,Ifi204,LOCAL,44.4,0,1,1,1
ENSMUSP00000038914,ENSMUSG00000039783,Kmo,LOCAL,32.95,0,1,1,1
ENSMUSP00000027769,ENSMUSG00000026492,Tfb2m,LOCAL,25.4,0,1,1,0
ENSMUSP00000016105,ENSMUSG00000015961,Adss,LOCAL,32.44,0,1,1,1
ENSMUSP00000094528,ENSMUSG00000032624,Eml4,DISTANT,16.31,0.086,1,0,0
ENSMUSP00000048519,ENSMUSG00000038633,Degs1,LOCAL,31.41,0,1,1,0
ENSMUSP00000027797,ENSMUSG00000026516,Nvl,LOCAL,28.75,0,1,1,1
ENSMUSP00000037890,ENSMUSG00000038806,Sde2,LOCAL,23.94,0,1,1,0
ENSMUSP00000047551,ENSMUSG00000038776,Ephx1,LOCAL,23.17,0,1,1,1
ENSMUSP00000027792,ENSMUSG00000026511,Srp9,LOCAL,80.89,0,1,1,0
ENSMUSP00000068895,ENSMUSG00000026509,Capn2,LOCAL,25.12,0,1,1,0
ENSMUSP00000078878,ENSMUSG00000032939,Nup93,DISTANT,17.29,0.04,1,0,0
ENSMUSP00000064801,ENSMUSG00000056050,Mia3,LOCAL,19.28,0.005,1,0,1
ENSMUSP00000104786,ENSMUSG00000056050,Mia3,LOCAL,19.28,0.005,1,0,0
ENSMUSP00000027780,ENSMUSG00000026499,Acbd3,LOCAL,16.4,0.081,1,0,0
ENSMUSP00000035804,ENSMUSG00000026621,01-Mar,LOCAL,22.85,0,1,0,1
ENSMUSP00000066715,ENSMUSG00000073481,02-Mar,LOCAL,38.45,0,1,1,0
ENSMUSP00000023803,ENSMUSG00000023043,Krt18,DISTANT,17.58,0.031,1,0,0
ENSMUSP00000034361,ENSMUSG00000031889,D230025D16Rik,DISTANT,17.16,0.044,1,0,0
ENSMUSP00000048229,ENSMUSG00000039246,Lyplal1,LOCAL,62.78,0,1,1,1
ENSMUSP00000027916,ENSMUSG00000026617,Bpnt1,LOCAL,16.15,0.097,1,0,0
ENSMUSP00000072481,ENSMUSG00000008305,Tle1,DISTANT,17.5,0.033,1,0,0
ENSMUSP00000117686,ENSMUSG00000066406,Akap13,DISTANT,17.47,0.034,1,0,0
ENSMUSP00000104351,ENSMUSG00000001036,Epn2,DISTANT,16.82,0.056,1,0,0
ENSMUSP00000027897,ENSMUSG00000026603,Smyd2,LOCAL,32.08,0,1,1,0
ENSMUSP00000027947,ENSMUSG00000026634,Angel2,LOCAL,65.48,0,1,1,0
ENSMUSP00000061769,ENSMUSG00000089872,Rps6kc1,LOCAL,19.5,0.005,1,1,0
ENSMUSP00000112137,ENSMUSG00000019256,Ahr,DISTANT,16.17,0.096,1,0,0
ENSMUSP00000036277,ENSMUSG00000037461,Ints7,LOCAL,22.49,0,1,1,0
ENSMUSP00000004508,ENSMUSG00000004394,Tmed4,DISTANT,18.3,0.017,1,0,0
ENSMUSP00000125620,ENSMUSG00000016194,Hsd11b1,LOCAL,37.66,0,1,1,1
ENSMUSP00000067786,ENSMUSG00000024241,Sos1,DISTANT,16.7,0.063,1,0,0
ENSMUSP00000074902,ENSMUSG00000016481,Cr1l,LOCAL,17.6,0.031,1,0,0
ENSMUSP00000070596,ENSMUSG00000052033,Pfdn4,DISTANT,16.76,0.06,1,0,0
ENSMUSP00000049243,ENSMUSG00000034127,Tspan8,DISTANT,16.34,0.085,1,0,0
ENSMUSP00000136233,ENSMUSG00000025817,Nudt5,LOCAL,21.93,0,1,1,1
ENSMUSP00000027975,ENSMUSG00000026664,Phyh,LOCAL,49.45,0,1,1,1
ENSMUSP00000027986,ENSMUSG00000026672,Optn,LOCAL,18.62,0.012,1,1,1
ENSMUSP00000043033,ENSMUSG00000039128,Cdc123,LOCAL,22.97,0,1,0,1
ENSMUSP00000116495,ENSMUSG00000039449,Prpf18,LOCAL,20.86,0.001,1,0,0
ENSMUSP00000110705,ENSMUSG00000026655,Fam107b,LOCAL,22.32,0,1,1,1
ENSMUSP00000129194,ENSMUSG00000025815,Dhtkd1,LOCAL,69.25,0,1,1,1
ENSMUSP00000097996,ENSMUSG00000002107,Celf2,LOCAL,26.55,0,1,1,0
ENSMUSP00000037371,ENSMUSG00000039063,Echdc3,LOCAL,54.78,0,1,1,1
