protein_id_ensemble,gene_id_ensemble,gene_symbol,QTL_type,percent_variance,p_val,significant_eQTL,Significant_eQTL_rep,Significant_pQTL
ENSMUSP00000115512,ENSMUSG00000033845,Mrpl15,LOCAL,21.52,0.001,1,0,0
ENSMUSP00000116627,ENSMUSG00000025911,Adhfe1,LOCAL,33.26,0,1,1,1
ENSMUSP00000027050,ENSMUSG00000025917,Cops5,LOCAL,22.66,0,1,0,0
ENSMUSP00000085986,ENSMUSG00000067851,Arfgef1,LOCAL,20.07,0.003,1,1,1
ENSMUSP00000027068,ENSMUSG00000025935,Tram1,LOCAL,23.24,0,1,1,0
ENSMUSP00000027071,ENSMUSG00000025937,Lactb2,LOCAL,32.8,0,1,1,1
ENSMUSP00000021714,ENSMUSG00000021286,Zfyve21,DISTANT,19.21,0.006,1,0,0
ENSMUSP00000134844,ENSMUSG00000022361,Zhx1,DISTANT,17.24,0.041,1,0,0
ENSMUSP00000037929,ENSMUSG00000035559,Mpv17l2,DISTANT,18.24,0.017,1,0,0
ENSMUSP00000134764,ENSMUSG00000032570,Atp2c1,DISTANT,16.68,0.064,1,0,0
ENSMUSP00000065337,ENSMUSG00000052456,Asna1,DISTANT,16.88,0.054,1,0,0
ENSMUSP00000058279,ENSMUSG00000051671,Coa6,DISTANT,16.67,0.064,1,0,0
ENSMUSP00000032909,ENSMUSG00000030671,Pde3b,DISTANT,17.18,0.043,1,0,0
ENSMUSP00000089421,ENSMUSG00000059336,Slc14a1,DISTANT,16.82,0.057,1,0,0
ENSMUSP00000097903,ENSMUSG00000006471,Ndor1,DISTANT,16.5,0.075,1,0,0
ENSMUSP00000133992,ENSMUSG00000069539,Scyl2,DISTANT,16.53,0.074,1,0,0
ENSMUSP00000044078,ENSMUSG00000036833,Pnpla7,DISTANT,19.27,0.005,1,0,0
ENSMUSP00000032196,ENSMUSG00000030105,Arl8b,DISTANT,16.18,0.095,1,0,0
ENSMUSP00000135483,ENSMUSG00000025940,Tmem70,LOCAL,20.77,0.001,1,0,0
ENSMUSP00000057375,ENSMUSG00000022200,Golph3,DISTANT,16.96,0.05,1,0,0
ENSMUSP00000071569,ENSMUSG00000058006,Mdn1,DISTANT,17.36,0.038,1,0,0
ENSMUSP00000048817,ENSMUSG00000032932,Hspa13,DISTANT,16.2,0.094,1,0,0
ENSMUSP00000047992,ENSMUSG00000041779,Tram2,LOCAL,51.7,0,1,1,1
ENSMUSP00000027067,ENSMUSG00000025934,Gsta3,LOCAL,24.38,0,1,0,1
ENSMUSP00000056345,ENSMUSG00000020376,Rnf130,DISTANT,20.61,0.002,1,0,0
ENSMUSP00000023071,ENSMUSG00000022437,Samm50,DISTANT,16.59,0.069,1,0,0
ENSMUSP00000008966,ENSMUSG00000008822,Acyp1,DISTANT,21.69,0.001,1,0,0
ENSMUSP00000092672,ENSMUSG00000073725,Lmbrd1,LOCAL,23.3,0,1,1,0
ENSMUSP00000085625,ENSMUSG00000004768,Rab23,LOCAL,39.19,0,1,1,1
ENSMUSP00000042009,ENSMUSG00000042215,Bag2,LOCAL,38.11,0,1,1,0
ENSMUSP00000027303,ENSMUSG00000026127,Imp4,LOCAL,17.09,0.045,1,1,0
ENSMUSP00000138308,ENSMUSG00000026131,Dst,LOCAL,19.41,0.005,1,0,0
ENSMUSP00000042918,ENSMUSG00000042111,Ccdc115,LOCAL,46.05,0,1,1,0
ENSMUSP00000117200,ENSMUSG00000001143,Lman2l,LOCAL,20.94,0.001,1,1,0
ENSMUSP00000001166,ENSMUSG00000001138,Cnnm3,LOCAL,16.26,0.091,1,0,0
ENSMUSP00000060858,ENSMUSG00000049553,Polr1a,DISTANT,16.83,0.056,1,0,0
ENSMUSP00000047326,ENSMUSG00000037351,Actr1b,LOCAL,37.86,0,1,1,0
ENSMUSP00000050388,ENSMUSG00000048234,Rnf149,LOCAL,31.75,0,1,1,0
ENSMUSP00000027252,ENSMUSG00000026083,Eif5b,LOCAL,17.82,0.024,1,0,0
ENSMUSP00000137631,ENSMUSG00000073702,Rpl31,LOCAL,44.41,0,1,1,0
ENSMUSP00000027247,ENSMUSG00000026078,Pdcl3,LOCAL,28.33,0,1,0,1
ENSMUSP00000125638,ENSMUSG00000003135,Cnot11,LOCAL,77.6,0,1,1,0
ENSMUSP00000049967,ENSMUSG00000003134,Tbc1d8,LOCAL,33.44,0,1,1,0
ENSMUSP00000039583,ENSMUSG00000041750,Cd1d2,DISTANT,17.81,0.025,1,0,0
ENSMUSP00000105112,ENSMUSG00000027652,Ralgapb,DISTANT,19.02,0.007,1,0,0
